study_id,qtl_name,definition,expectation,secondary_limit,tolerance_limit,numerator_definition,denominator_definition,status,retirement_date,comment,has_sister_kri
C4591081,Key Blood Sample Collection -,"Percentage of subjects who provide a blood sample
V1 and 1-Month Post at V1 and 1-month post vaccination visits calculated
Vaccination Visits as the cumulative number of V1 and 1-month post
vaccination visits with a collected sample divided by
the cumulative number of V1 and 1-month post
vaccination visits performed.


CDS01-RF02
Dataset and Electronic Sample Tracking",90,85%,80%,Subject-visits of vaccinated participants with a blood sample collected.,"All subject-visits. *Sufficient number of immunogenicity serum samples >= 1 Comment, if As per new guidelines regarding QTL monitoring and mitigation, Clinician is responsible for mitigating QTLs applicable in CluePoints and generating study QTL report, which must be filed in PTMF as official evidence of QTL monitoring at final QTL analysis.",active,,,TRUE
C4591081,% of participants completed the Safety Follow-Up Visit 5,"Proportion of subjects
with safety follow up visit
completed at 6 months
follow-up visit post
vaccination. Based on
vaccination date,
calculated as the
cumulative
number of participants
with a safety follow-up
visit divided by the
cumulative number of
participants expected
to have had their safety
follow-up visit based on
vaccination date.
Dataset and TREATMENT – VACCINATION (EC001_2) Justification Important to provide long
Variable • ECSTDTC_001 for term safety follow up data
Parameter as for the study
DATE OF VISIT (SV001) QTL intervention’s profile.
• SVSTDTC_001
• CPEVENT",90,,,Vaccinated subjects that have completed the V5_MONTH6_POSTVAX visit. • Subjects in TREATMENT – VACCINATION (EC001_2) form: - where “Dose Date Time (ECSTDTC_001)” is not missing • Vaccinated Subjects in DATE OF VISIT (SV001) form - where “Visit Name (CPEVENT)” = V5_MONTH6_POSTVAX - and “Date of Visit (SVSTDTC_001)” is not missing,"Vaccinated subject that are expected to have the V5_MONTH6_POSTVAX completed (subjects that have reached 175+ days since their vaccination). • Subjects in TREATMENT – VACCINATION (EC001_2) form: - Where “Dose Date Time (ECSTDTC_001)” is not missing - *” Days Since Vaccination” >= 175 *” Days Since Vaccination” is calculated: (Current Analysis Date – Dose Date Time). Comment, if As per new guidelines regarding QTL monitoring and mitigation, Clinician is responsible for mitigating QTLs in applicable CluePoints and generating study QTL report, which must be filed in PTMF as official evidence of QTL monitoring at final QTL analysis.",active,,,FALSE
C4591081,Nasal Swab Sample Collection,"Percentage of covid illness visits that are associated
with presented non-ongoing symptoms and have
nasal swab samples collected within 4 days after
symptom resolution is calculated as the cumulative
number of covid illness visits that are associated
with presented non-ongoing symptoms and have
nasal swab samples collected within 4 days after
symptom resolution by the number of covid illness
visits that are associated with presented non-
ongoing symptoms.


CDS01-RF02
Dataset and Sample Collection and Tracking",90,N/A,85%,"COVID ILLNESS visits that are associated with non-ongoing symptoms and have nasal swab samples collected within 4 days from last symptom resolution date. • Subjects in TREATMENT – VACCINATION (EC001_2) form: - where “Dose Date Time (ECSTDTC_001)” is not missing • Subject-visits of vaccinated subjects in DATE OF VISIT (SV001) form: - where “Date of visit (SVSTDTC_001)” is not missing - where “Visit Name (CPEVENT)” in [COVID_ILLNESS, COVID_REPEAT_SWAB] • Subject-visits with non-ongoing COVID symptoms in POTENTIAL CLINICAL ENDPOINT ASSESSMENT - POTENTIAL COVID-19 ILLNESS (CEPEA084) form: - where “Any Symptoms Ongoing (X_CEONGO_084) = “NO” - where “Date Last Symptom Resolved (CEENDTC_084_DTS)” is not missing - where “Symptom Occurred (FAORRES_OCCUR_084)” = “YES” • Nasal swab samples at COVID ILLNESS visits in Sample Collection and Tracking Data (TruLab) (SM_BEETRK012) data: - where “Sample collection date (BEDTC_012_DTS)” is not missing - where “Sample type (BESCAT_012)” in [NASAL_SWAB, NA","COVID ILLNESS visits that are associated with presented non-going symptoms. • Subjects in TREATMENT – VACCINATION (EC001_2) form: - where “Dose Date Time (ECSTDTC_001)” is not missing • Subject-visits of vaccinated subjects in DATE OF VISIT (SV001) form: - where “Date of visit (SVSTDTC_001)” is not missing - where “Visit Name (CPEVENT)” in [COVID_ILLNESS, COVID_REPEAT_SWAB] • Subject-visits with presented non-ongoing COVID symptoms in POTENTIAL CLINICAL ENDPOINT ASSESSMENT - POTENTIAL COVID-19 ILLNESS (CEPEA084) form: - where “Any Symptoms Ongoing (X_CEONGO_084) = “NO” - where “Date Last Symptom Resolved (CEENDTC_084_DTS)” is not missing - where “Symptom Occurred (FAORRES_OCCUR_084)” = “YES” Comment, if As per new guidelines regarding QTL monitoring and mitigation, Clinician is responsible for mitigating QTLs applicable in CluePoints and generating study QTL report, which must be filed in PTMF as official evidence of QTL monitoring at final QTL analysis.",active,,,FALSE
C4591082,Key blood sample,"Percentage of subjects who provide a blood
collection - Post Dose 1 sample at the 1-month post vaccination visit
calculated as the cumulative number of subjects
with a collected sample divided by the cumulative
number of subjects vaccinated and are expected
to have the samples collected.
Dataset and Sample Collection and Tracking",90,85%,80%,Vaccinated subjects that have collected a *sufficient number of immunogenicity serum samples at V2_MONTH1_POSTVAX. • Subjects in TREATMENT – VACCINATION (EC001_2) form: - where “Dose Date Time (ECSTDTC_001)” is not missing • Vaccinated subjects with samples in Sample Collection and Tracking Data (TruLab) (SM_BEETRK012) data: - where “Blood Sample Collection Date (BEDTC_012_DTS)” is not missing - where “Visit Name (CPEVENT)” = V2_MONTH1_POSTVAX - where “Aliquot Date (R_ALIQUOT_TS_012_DTS)” is not missing - where “Sample Type (BESCAT_012)” = SERUM - where “Skipped Aliquot (R_ALIQUOT_SKIPPED_012)” = FALSE - where “Disposed Aliquot (R_DISPOSED_012)” = FALSE *Sufficient number of immunogenicity serum samples >= 1,All vaccinated subjects that are expected to have the samples collected at V2_MONTH1_POSTVAX (subjects that have reached 35+ days since their vaccination) • Subjects in TREATMENT – VACCINATION (EC001_2) form: - where “Dose Date Time (ECSTDTC_001)” is not missing - *” Days Since Vaccination” >= 175 *” Days Since Vaccination” is calculated: (Current Analysis Date – Dose Date Time).,active,,,TRUE
C4591082,% of participants completed the Safety,"Percentage of participants with safety follow
Follow-Up Visit 3 up visit completed at 6 months follow-up
visit post vaccination. Based on vaccination
date, calculated as the cumulative number
of participants with a safety follow-up visit
divided by the cumulative number of
participants expected to have had their
safety follow-up visit based on vaccination
date.
Dataset and TREATMENT – VACCINATION",90,,85%,Vaccinated subjects that have completed the V3_MONTH6_POSTVAX visit. • Subjects in TREATMENT – VACCINATION (EC001_2) form: - where “Dose Date Time (ECSTDTC_001)” is not missing • Vaccinated Subjects in DATE OF VISIT (SV001) form - where “Visit Name (CPEVENT)” = V3_MONTH6_POSTVAX - and “Date of Visit (SVSTDTC_001)” is not missing,Vaccinated subject that are expected to have the V3_MONTH6_POSTVAX completed (subjects that have reached 175+ days since their vaccination). • Subjects in TREATMENT – VACCINATION (EC001_2) form: - Where “Dose Date Time (ECSTDTC_001)” is not missing - *” Days Since Vaccination” >= 175 *” Days Since Vaccination” is calculated: (Current Analysis Date – Dose Date Time).,active,,,FALSE
C4601003,3 Doses Completed,"The proportion of subjects who received all 3 doses. Percent is
calculated as count/total received 1st dose at that timepoint,
excluding all subjects from sites 1284, 1285, 1286, 1288, 1289,
1292 1293, and 1294 consistent with SQE PR#2214239",92.5,NA,90%,"count number of subjects where Vaccination Date is completed for Vax1, Vax2 and Vax3 where Dose Date is NOT NULL and <if> disposition primary vax eCRF (EOT) is not null – OR – Long Term Follow Up (LTFUP) is not null –OR – the Disposition Follow up (FUP) is not null – AND – excluding all subjects from sites 1284, 1285, 1286, 1288, 1289, 1292 1293, and 1294 •","count number of subjects where Vaccination Date is completed for Vax1, and <if> disposition primary vax eCRF (EOT) is not null – OR – Long Term Follow Up (LTFUP) is not null –OR – the Disposition Follow up (FUP) is not null – AND – excluding all subjects from sites 1284, 1285, 1286, 1288, 1289, 1292 1293, and 1294",active,,"As of October 2024 analysis, the 3 Booster QTL is retired. All participants have completed this portion of the study.
With no new data coming in for these visits, any data changes would have little impact on the QTL calculation
throughout the remainder of the study.",TRUE
C4601003,Booster Dose Completed,"The proportion of subjects who received the booster. Percent is
calculated as count/total received 3rd dose at that timepoint,
excluding all subjects from sites 1284, 1285, 1286, 1288, 1289,
1292 1293, and 1294 consistent with SQEPR#2214239.",92.5,NA,90%,"count number of subjects where Vaccination Date is completed for Vax3 and Vax4 where Dose Date is NOT NULL and <if> disposition primary vax eCRF (EOT) is not null – OR – Long Term Follow Up (LTFUP) is not null –OR – the Disposition Follow up (FUP) is not null – AND – excluding all subjects from sites 1284, 1285, 1286, 1288, 1289, 1292 1293, and 1294 •","count number of subjects where Vaccination Date is completed for Vax3, and <either> DOV entered for V6– OR – Long Term Follow Up (LTFUP) is not null –OR – the Disposition Follow up (FUP) is not null – AND – excluding all subjects from sites 1284, 1285, 1286, 1288, 1289, 1292 1293, and 1294",active,,"As of June 2025 analysis, the Booster Dose QTL is retired. All participants have completed this portion of the study.
With no new data coming in for these visits, any data changes would have little impact on the QTL calculation
throughout the remainder of the study.",FALSE
C4601003,Lyme Samples Collected,"The proportion of subjects with at least 1 sample collected at
illness acute visit or convalescent visit. Excluding all subjects
from sites 1284, 1285, 1286, 1288, 1289, 1292 1293, and 1294
consistent with SQE PR#2214239. Percent is calculated as
count/total for suspected Lyme visits with at least 1 clinical
sign/symptom after 1st dose.",100,NA,95%,"count number of subjects where date of visit for Suspected LD Acute Visit is NOT NULL or date of visit for Suspected LD Convalescent Visit is NOT NULL where Lyme Disease Visit identifiers are equal and Signs and Symptoms of Lyme Disease Symptom Present equals YES or Signs and Symptoms of Lyme Disease Symptom – Other Text is not null or Signs and Symptoms of Lyme Disease – Details Was Symptom Present is NOT NULL, and Electronic Sample Tracking - Serum CRF Sample Collected equals YES or Electronic Sample Tracking - Plasma CRF Sample Collected equals YES or Electronic Sample Tracking - Biopsy CRF Sample Collected equals YES •",count number of subjects where date of visit for Suspected LD Acute Visit is NOT NULL or date of visit for Suspected LD Convalescent Visit is NOT NULL where Lyme Disease Visit identifiers are equal and Signs and Symptoms of Lyme Disease Symptom Present equals YES or Signs and Symptoms of Lyme Disease Symptom – Other Text is not null or Signs and Symptoms of Lyme Disease – Details Was Symptom Present is NOT NULL,active,,"Calculation excludes all subjects from sites 1284, 1285, 1286, 1288, 1289, 1292 1293, and 1294 consistent with SQE
PR#2214239.",FALSE
C4601003,Post-Booster,"The proportion of the subjects with sero sample collected
Immunogenicity Sample 1 mo post booster dose among the subjects receiving the all
Collected primary series and booster dose. Excluding all subjects from
sites 1284, 1285, 1286, 1288, 1289, 1292 1293, and 1294
consistent with SQE PR#2214239.",100,NA,95%,count number of subjects where Date of Completion on Disposition – Booster Vaccination is NOT NULL and status equals COMPLETED and ETRK – Serum at visit 7 was sample collected •,count number of subjects where Date of Completion on Disposition – Booster Vaccination is NOT NULL and status equals COMPLETED,active,,"Calculation excludes all subjects from sites 1284, 1285, 1286, 1288, 1289, 1292 1293, and 1294 consistent with SQE
PR#2214239.
As of June 2025 analysis, the Post Booster Immunogenicity Sample Collected QTL is retired. The majority of
participants have completed this portion of the study. With limited new data coming in for these visits, any data
changes would have little impact on the QTL calculation throughout the remainder of the study.
7.1 Timing and Frequency of QTL Analysis
Initial timing of QTL analysis 16Sep2022
Frequency of QTL analysis With each KRI analysis; weekly in Apr/May2024 per",FALSE
C4891001,% of subjects with premature,"The proportion of subjects that discontinued the study
drug discontinuation (both treatment (both arms) prematurely (before completion
arms) of protocol-specified treatment).
Dataset and DS001_2 Enrollment",10,N/A,15%,"o Include subjects where o DS001 Disposition: Treatment ARV-471 (PF-07850327) and Treatment Fulvestrant; DSSTDTC_001 is not null and DSDECOD_001 is not in “Progressive Disease, Death, Global Deterioration of Health Status, Adverse Event” Comment, if applicable 8.1.2. QTL2","o Include subjects where o DS001_2 Enrolled subjects: DSSTDTC_001(Date of Completion/Discontinuation/Death) is not null and SUPPDS_DSENRGRP_001_2(Enrollment Group) contains ARM A or ARM B • Numerator: o Include subjects where o DS001 Disposition: Treatment ARV-471 (PF-07850327) and Treatment Fulvestrant; DSSTDTC_001 is not null and DSDECOD_001 is not in “Progressive Disease, Death, Global Deterioration of Health Status, Adverse Event” Comment, if applicable 8.1.2. QTL2",active,,,FALSE
C4891001,[Retired] #% of subjects with,"The proportion of subjects that discontinued the study
premature drug treatment (FULVESTRANT) prematurely (before
discontinuation (ARM B) completion of protocol-specified treatment).
Dataset and DS001_2 Enrollment",10,N/A,15%,"o Include subjects where o DS001_5_1 Disposition: Treatment Fulvestrant; DSSTDTC_001 is not null and DSDECOD_001 is not in “Progressive Disease, Death, Global Deterioration of Health Status, Adverse Event” Comment, if The QTL2 is combined with QTL1 as confirmed with study team, so QTL2 is retired in CMPV2.0. applicable 8.1.3. QTL3","o Include subjects where o DS001_2 Enrolled subjects: DSSTDTC_001 is not null and SUPPDS_DSENRGRP_001_2 (Enrollment Group) = ARM B • Numerator: o Include subjects where o DS001_5_1 Disposition: Treatment Fulvestrant; DSSTDTC_001 is not null and DSDECOD_001 is not in “Progressive Disease, Death, Global Deterioration of Health Status, Adverse Event” Comment, if The QTL2 is combined with QTL1 as confirmed with study team, so QTL2 is retired in CMPV2.0. applicable 8.1.3. QTL3",retired,,,FALSE
C4891001,% of patients who had,"Efficacy assessments should be done per protocol time
any missing points, with same equipment by same personnel, with
components of tumor qualified personnel reviewing results.
assessment evaluation


CDS01-RF02
Dataset and DS001_2 Enrollment",5,N/A,10%,"o # of patients who had any missing tumor assessment pages that should have been entered – including target/non-target/IOTA CRF pages. Include below situation: 1.In page TUTMM003_1: X_TRSTAT_TRALL_003(Were one or more target lesions assessed at this timepoint?) is NO or null. OR 2.In page TUTMM006_1: X_TRSTAT_TRALL_006 (Were one or more non-target lesions assessed at this timepoint?) is NO or null. OR 3. In page RSIOTA001, RSDTC_001(Date of Tumor Assessment) is null New added in CMP V4.0: 4. For subjects who discontinued treatment and were assessed as having progressive disease (PD) by the principal investigator (PI) and by BICR , tumor assessments conducted after PD and after treatment discontinuation are not required to be entered into InForm. If the patient discontinues the study treatment due to disease progression as per PI assessment but NOT as per BICR assessment, the site must enter in Inform as a minimum the DOV for future assessments that are submitted to the BICR after treat","o Include subjects where o DS001_2 Enrolled subjects: Enrollment Date not missing All randomized patients who had complete baseline assessments： 1.In TUTMM003 page: Y_TRDTC_003(Evaluation Date) not null OR 2. In TUTMM006 page: Y_TRDTC_006(Evaluation Date) not null • Numerator: o # of patients who had any missing tumor assessment pages that should have been entered – including target/non-target/IOTA CRF pages. Include below situation: 1.In page TUTMM003_1: X_TRSTAT_TRALL_003(Were one or more target lesions assessed at this timepoint?) is NO or null. OR 2.In page TUTMM006_1: X_TRSTAT_TRALL_006 (Were one or more non-target lesions assessed at this timepoint?) is NO or null. OR 3. In page RSIOTA001, RSDTC_001(Date of Tumor Assessment) is null New added in CMP V4.0: 4. For subjects who discontinued treatment and were assessed as having progressive disease (PD) by the principal investigator (PI) and by BICR , tumor assessments conducted after PD and after treatment discontinuation are not re",active,,,FALSE
C4891001,Not Meet the Protocol,"The percentage of patients entered into the study but do
Entry Criteria not meet one or more of the protocol entry criteria
(Inclusion and/or Exclusion violations).
Dataset and DS001_2 Enrollment",5,N/A,10%,"o Number of Subjects in both [KRI_PD_RATE] dataset with [PROTOCOL DEVIATION CATEGORY] equal to “1:INCLUSION/EXCLUSION” and in DS001_2 Enrollment who’s Randomization Date are not missing. Comment, if As the enrollment has been completed, this QTL will be retired in CMP V 4.0. applicable","o Include subjects where o DS001_2 Enrollment; Randomization Date not missing • Numerator: o Number of Subjects in both [KRI_PD_RATE] dataset with [PROTOCOL DEVIATION CATEGORY] equal to “1:INCLUSION/EXCLUSION” and in DS001_2 Enrollment who’s Randomization Date are not missing. Comment, if As the enrollment has been completed, this QTL will be retired in CMP V 4.0. applicable",active,,,FALSE
C4891002,% of subjects with premature drug discontinuation (both arms),"The proportion of subjects that discontinued the
with premature drug study treatment prematurely (before completion
discontinuation of protocol-specified treatment).
Dataset and DS001_5",10,N/A,15%,o Number of subjects with DS001_5 Disposition - Treatment page entered and Status not entered as COMPLETED/PROGRESSIVE DISEASE/GLOBAL DETERIORATION OF HEALTH STATUS/DEATH/ADVERSE EVENT; •,"o Number of subjects with DS001_5 Disposition – Treatment page entered Comment, if applicable * The other 2 QTLs listed in QTL Specification v1.0 (21-Jul-2023) are for Phase 3. They will be included in Central Monitoring Plan when Phase 3 begins.",active,,,FALSE
C4891026,The % of patients,"The percentage of patients entered in Phase 2 who does
entered in Phase 2 not satisfy the following requirements: (1) All baseline
who do not have an assessments must be within 28 days prior to and including
adequate baseline the date of first dose of study treatment. (2) All documented
tumor assessment and lesions must have non-missing assessments, (3) at least 1
do not meet eligibility measurable lesion must be documented at baseline, (4)
criteria for tumor lesion size at baseline must be adequate.
assessment at
baseline.
Dataset and DS001_2",5,10%,15%,"Include subjects where: • Enrollment [DS001_2]: Enrollment Group [SUPPDS_DSENRGRP_001_2] contains ‘PHASE 2’ • Baseline Tumors [TUTMM001]: Did this patient have any Target Lesions? [X_TUORRES_TRGEXM_TAR_001] = ‘NO’, if ‘YES’, check if baseline is completed. Did this patient have any non-Target lesions? [X_TUORRES_TRGEXM_NTAR_001] = ‘NO’, if ‘YES’, check if baseline is completed. • Target Lesions – Baseline [TUTMM003]: Disease Site [TULOC_003_1] is missing, Diameter [TRORRES_DIAMETER_003_1] is missing • Non-Target Lesions – Baseline [TUTMM006]: Disease Site [TULOC_006_1] is missing, Diameter [TRORRES_DIAMETER_006_1] is missing • Trigger Form [R_TRIG001]: Select appropriate response - Did subject meet all eligibility criteria? [R_TRIGRESP2_001] = ‘SUBJECT MET ALL ELIGIBILITY CRITERIA’","Include subjects where: • Enrollment [DS001_2]: Enrollment Group [SUPPDS_DSENRGRP_001_2] contains ‘PHASE 2’ Comment, if N/A applicable",active,,,FALSE
C5091017,Participants lost to,"Percentage of study participants who
follow-up at Day 28 Descriptive are lost
definition of the to follow-up by Day 28. Monitoring
QTL, typically will begin
‘Definition’ from after the first 60 participants
IQMP
Dataset and [DS001_3]",10,,20%,"Include subjects where: o In DS001_6 Disposition-follow-up, where Status DSDECOD_001_6 = LOST TO FOLLOW-UP’ or ‘WITHDRAWAL BY PARENT/GUARDIAN’ or ‘WITHDRAWAL BY SUBJECT’ and DS001_6.DSSTDTC_001_6 - DS001_3.DSSTDTC_001_3 <=28 days OR o In DS001_5 TREATMENT where Status DSDECOD_001_5 = LOST TO FOLLOW-UP’ or ‘WITHDRAWAL BY PARENT/GUARDIAN’ or ‘WITHDRAWAL BY SUBJECT’ and DS001_5.DSSTDTC_001_5 - DS001_3.DSSTDTC_001_3 <=28 days","o Include subjects where: o In DS001_3 where DSSTDTC_001 IS NOT NULL Comment, if DL-073907 Decision log updated to document that the QTL start will not be applicable amended from 60 to 75 (as per SOP) because the study has already recruited more than 300 participants and the QTL was already ran. The discrepancy between SOP and actual QTL start was identified after the QTL was already ran in CluePoints.",active,,,TRUE
